"Transactional emails","Transactionele Emails"
"Username","Gebruikersnaam"
"Recipient(s)","Ontvanger(s)"
"Duration","Looptijd"
"Created At: %s","Aangemaakt op: %s"
"Duration: %s","Looptijd: %s"
"Sender: %s","Afzender: %s"
"Recipient(s): %s","Ontvanger(s): %s"
" monthly","maandelijks"
" weekly","wekelijks"
" daily","dagelijks"
"%d days","%d dagen"
" %d days (%d weeks)","%d dagen (%d weken)"
"%d days (%d weeks)","%d dagen (%d weken)"
"%d days (%d month)","%d dagen (%d maand)"
" %d days (%d months)","%d dagen (%d maanden)"
"%d days (%d months)","%d dagen (%d maanden)"
"Transactional emails - %s","Transactionele Emails - %s"
"Background color","Achtergrond kleur"
"Text color","Tekst kleur"
" %d months","%d maanden"
"%d months","%d maanden"
" %d years","%d jaar"
"%d years","%d jaar"
"Subject: %s","Onderwerp: %s"
