"Transactional emails","E-maile sprzedażowe"
"Customers synchronization","Synchronizacja klientów"
"Email reports","Raporty e-mailem"
"Separate addresses by a space.","Oddziel adresy przerwą."
"Send an email now","Wyślij E-mail teraz"
"Separate keywords by a space.","Oddziel słowa kluczowe spacją."
"File format","Format pliku"
"INCOMPLETE MODULE INSTALLATION","NIEKOMPLETNA INSTALACJA MODUŁU"
"Changes in <em>%s</em> are not present. Please read the documentation.","Wystąpił błąd (<em>%s</em>)."
"There is conflict (<em>%s</em>).","Pojawił się błąd (<em lang=""en"">%s</em>)."
"Recipient(s)","Odbiorca(y)"
"Duration","Trwanie"
"Created At: %s","Utworzono: %s"
"Duration: %s","Trwanie: %s"
"Sender: %s","Nadawca: %s"
"Recipient(s): %s","Odbiorca(y): %s"
" monthly","co miesiąc"
" weekly","co tydzień"
" daily","codziennie"
"Email %d: %s","E-mail %d: %s"
"Can not send the report by email to %s.","Jest niemożliwością wysłania raportu e-mailem do %s."
"%d days","%d dni"
" %d days (%d weeks)","%d dni (%d tygodni)"
"%d days (%d weeks)","%d dni (%d tygodni)"
"%d days (%d month)","%d dni (%d miesiąc)"
" %d days (%d months)","%d dni (%d miesiące)"
"%d days (%d months)","%d dni (%d miesięcy)"
"The <em>%s</em> field is a required field.","Pole <em>%s</em> jest obowiązkowe."
"Transactional emails - %s","E-maile sprzedażowe - %s"
"Background color","Kolor tła"
"Text color","Kolor tekstu"
"%d month","%d miesiąc"
" %d months","%d miesiące"
"%d months","%d miesięcy"
" %d years","%d lata"
"%d years","%d lat"
"Subject: %s","Temat: %s"
